time_stamp,AmbientConditions.AmbientHumidity.U.Actual,AmbientConditions.AmbientTemperature.U.Actual,Machine1.MotorAmperage.U.Actual,Machine1.MotorRPM.C.Actual,Machine1.MaterialPressure.U.Actual,Machine1.MaterialTemperature.U.Actual,Machine2.MotorAmperage.U.Actual,Machine2.MotorRPM.C.Actual,Machine2.MaterialPressure.U.Actual,Machine2.MaterialTemperature.U.Actual,Machine3.MotorAmperage.U.Actual,Machine3.MotorRPM.C.Actual,Machine3.MaterialPressure.U.Actual,Machine3.MaterialTemperature.U.Actual,Stage1.Output.Measurement0.U.Actual,Stage1.Output.Measurement0.U.Setpoint,Stage1.Output.Measurement1.U.Actual,Stage1.Output.Measurement1.U.Setpoint,Stage1.Output.Measurement2.U.Actual,Stage1.Output.Measurement2.U.Setpoint
6/3/2019 10:52,17.24,23.53,48.03,10.48,436.76,76.3,73.25,13.89,246.68,68.8,337.4,13.5,263.71,65.3,12.72,13.75,0,22.74,12.16,13.02
6/3/2019 10:52,17.24,23.53,48.03,10.48,436.77,76.3,73.19,13.89,246.02,69,341.85,13.59,262.88,65.3,12.34,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,48.16,10.48,425.46,76.3,73.19,13.85,247.18,68.9,338.71,14,262.63,65.3,12.34,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,48.57,10.48,437.01,76.3,72.81,13.9,249.92,69.1,339.15,13.67,262.22,65.4,12.34,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,48.57,10.48,425.18,76.4,73,13.89,250.58,68.9,337.05,13.72,262.17,65.4,12.29,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,48.7,10.48,435.23,76.4,73.19,13.87,247.33,69.2,350.49,13.76,261.39,65.4,12.29,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,48.7,10.45,435.25,76.4,73.19,13.87,245.12,69.2,345.76,13.81,261.03,65.4,12.54,13.75,0,22.74,11.89,13.02
6/3/2019 10:52,17.24,23.53,49.78,10.48,439.68,76.4,73.19,13.93,248.85,69,351.83,13.49,260.61,65.4,12.54,13.75,0,22.74,11.89,13.02
6/3/2019 10:52,17.24,23.53,49.37,10.48,422.66,76.5,73.06,13.93,249.63,69.1,332.66,13.59,260.59,65.4,12.35,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,49.64,10.52,431.83,76.5,73.06,13.92,244.42,69.1,339.5,13.6,260.58,65.4,12.35,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,49.37,10.48,430.5,76.5,73,13.89,242.33,69.1,354.74,13.99,259.89,65.4,12.1,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,49.51,10.48,437.53,76.5,73.25,13.91,247.47,69.2,348.07,13.54,260.32,65.4,12.1,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,49.51,10.48,434.45,76.6,72.81,13.86,248.72,69.4,346.5,13.6,259.82,65.4,12.34,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,49.91,10.52,442.15,76.6,72.81,13.87,243.2,69.4,335.43,13.4,259.22,65.4,12.34,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,49.64,10.48,431.37,76.6,73.06,13.92,241.73,69.2,342.55,13.7,259.08,65.5,12.45,13.75,16.6,22.74,13.63,13.02
6/3/2019 10:52,17.24,23.53,50.18,10.52,423.65,76.6,73.13,13.92,245.47,69.5,340.95,13.89,258.93,65.5,12.45,13.75,16.6,22.74,13.63,13.02
6/3/2019 10:52,17.24,23.53,49.64,10.52,433.64,76.7,72.94,13.91,247.28,69.3,345.78,13.68,258.8,65.5,12.55,13.75,0,22.74,11.89,13.02
6/3/2019 10:52,17.24,23.53,49.24,10.52,436.02,76.7,72.88,13.89,246.45,69.5,342.48,13.73,258.25,65.5,12.55,13.75,0,22.74,11.89,13.02
6/3/2019 10:52,17.24,23.53,48.97,10.48,435.75,76.7,73.19,13.91,245.15,69.4,355.21,13.72,258.28,65.5,12.63,13.75,11.41,22.74,11.51,13.02
6/3/2019 10:52,17.24,23.53,49.24,10.48,422.7,76.7,72.88,13.92,243.52,69.6,336.28,13.86,258.26,65.5,12.63,13.75,11.41,22.74,11.51,13.02
6/3/2019 10:52,17.24,23.53,49.68437937,10.48154657,429.0676944,76.74999989,72.94009608,13.92443952,244.4730393,69.67910139,328.4383374,13.71146157,257.8556073,65.50010607,12.69266509,13.75,11.03467268,22.74,11.58418525,13.02
6/3/2019 10:52,17.24,23.53,49.91,10.48,436.11,76.8,73,13.91,246.58,69.6,334.9,13.6,257.48,65.5,12.63,13.75,11.41,22.74,11.51,13.02
6/3/2019 10:52,17.24,23.53,49.64,10.48,426.24,76.8,72.69,13.87,247.28,69.5,347.03,13.82,257.52,65.5,12.7,13.75,11.61,22.74,11.58,13.02
6/3/2019 10:52,17.24,23.53,49.24,10.48,435.2,76.8,73,13.86,243.72,69.7,348.27,13.73,257.48,65.5,12.7,13.75,11.61,22.74,11.58,13.02
6/3/2019 10:52,17.24,23.53,49.51,10.48,435.76,76.8,72.94,13.89,241.5,69.5,345.83,13.56,256.76,65.5,0,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,50.32,10.52,440.6,76.9,72.81,13.93,245.17,69.7,351.24,13.66,256.76,65.6,0,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,50.18,10.48,424.61,76.9,72.69,13.93,246.68,69.7,342.59,13.8,256.73,65.6,0,13.75,0,22.74,0,13.02
6/3/2019 10:52,17.24,23.53,50.32,10.52,431.41,76.9,72.81,13.91,240.33,69.7,337.37,13.9,256.24,65.6,0,13.75,0,22.74,0,13.02
6/3/2019 10:53,17.24,23.53,49.24,10.52,431.4,76.9,73.06,13.92,238.92,69.8,349.83,13.71,255.99,65.6,0,13.75,0,22.74,0,13.02
6/3/2019 10:53,17.24,23.53,48.84,10.52,436.16,76.9,72.94,13.87,244.25,69.7,344.01,13.53,255.62,65.6,0,13.75,0,22.74,0,13.02
6/3/2019 10:53,17.24,23.53,49.1,10.52,432.98,77,72.38,13.94,245.38,69.8,357.79,13.53,255.97,65.6,12.48,13.75,0,22.74,11.94,13.02
6/3/2019 10:53,17.24,23.53,49.37,10.45,438.68,77,72.75,13.9,241.25,69.8,333.32,13.6,255.37,65.6,12.48,13.75,0,22.74,11.94,13.02
6/3/2019 10:53,17.24,23.53,49.78,10.48,432.92,77,73,13.91,240.42,69.8,348.3,13.73,255.5,65.6,12.65,13.75,11.1,22.74,11.63,13.02
6/3/2019 10:53,17.24,23.53,49.64,10.52,423.69,77,73.25,13.94,241.98,69.9,337.9,13.8,255.18,65.6,12.65,13.75,11.1,22.74,11.63,13.02
6/3/2019 10:53,17.24,23.53,49.38303911,10.54208627,422.0340796,77.02564794,73.26662272,13.92298979,242.9929977,69.94404313,333.2381973,13.82717992,254.9295489,65.58166706,12.61110326,13.75,10.30244211,22.74,11.60345481,13.02
6/3/2019 10:53,17.24,23.53,49.10871583,10.54405308,428.0561887,77.07435206,73.04763369,13.86614683,243.293939,69.91685441,339.7890928,13.81555856,254.8415781,65.55512612,12.64026894,13.75,10.91493376,22.74,11.561536,13.02
6/3/2019 10:53,17.24,23.53,48.84,10.52,433.14,77.1,72.88,13.87,244.5,69.9,344.22,13.75,254.67,65.6,12.66,13.75,11.32,22.74,11.54,13.02
6/3/2019 10:53,17.24,23.53,48.7,10.48,436.09,77.1,72.81,13.93,245.88,69.9,344.07,13.66,254.45,65.7,12.66,13.75,11.32,22.74,11.54,13.02
6/3/2019 10:53,17.24,23.53,49.24,10.48,435.27,77.1,72.81,13.92,242.5,69.9,341.1,13.72,254.46,65.7,12.66,13.75,11.32,22.74,11.54,13.02
6/3/2019 10:53,17.24,23.53,49.64,10.48,421.73,77.1,72.81,13.86,240.52,70,347.92,13.79,253.91,65.7,12.69,13.75,11.27,22.74,11.56,13.02
6/3/2019 10:53,17.24,23.53,49.91,10.52,436.07,77.2,72.94,13.91,244.02,70,337.16,13.62,253.74,65.7,12.69,13.75,11.27,22.74,11.56,13.02
6/3/2019 10:53,17.24,23.53,49.51,10.52,425.97,77.2,72.75,13.93,244.68,70.1,340.71,13.89,253.65,65.7,12.69,13.75,11.25,22.74,11.54,13.02
6/3/2019 10:53,17.24,23.53,48.84,10.52,435.19,77.2,72.81,13.91,239.48,70,336.53,13.6,254.35,65.7,12.69,13.75,11.25,22.74,11.54,13.02
6/3/2019 10:53,17.24,23.53,48.84,10.45,432.99,77.2,73,13.86,237.62,70.1,345.43,13.84,253.63,65.7,0,13.75,0,22.74,20.83,13.02
6/3/2019 10:53,17.24,23.53,49.64,10.48,439.3,77.2,72.69,13.86,242.38,70.2,353.4,13.79,253.01,65.7,0,13.75,0,22.74,20.83,13.02
6/3/2019 10:53,17.24,23.53,49.37,10.48,421.63,77.3,72.56,13.92,244.02,70,346.5,13.78,253.64,65.7,0,13.75,0,22.74,20.83,13.02
6/3/2019 10:53,17.24,23.53,49.37,10.52,431.12,77.3,72.69,13.89,238.57,70.2,350.62,13.78,252.89,65.7,12.7,13.75,11.28,22.74,11.48,13.02
6/3/2019 10:53,17.24,23.53,48.84,10.52,427.93,77.3,73.13,13.89,237.43,70.1,342.6,13.55,253.52,65.8,12.7,13.75,11.28,22.74,11.48,13.02
6/3/2019 10:53,17.24,23.53,48.97,10.48,433.71,77.3,72.75,13.94,240.87,70.3,334.36,13.53,252.85,65.8,12.7,13.75,11.28,22.74,11.48,13.02
6/3/2019 10:53,17.24,23.53,48.7,10.45,430.82,77.4,72.38,13.93,243.37,70.4,345.07,13.62,252.4,65.8,12.73,13.75,11.33,22.74,11.56,13.02
6/3/2019 10:53,17.24,23.53,49.1,10.52,439.28,77.4,72.63,13.9,242.82,70.1,341.41,13.47,252.13,65.8,12.73,13.75,11.33,22.74,11.56,13.02
6/3/2019 10:53,17.24,23.53,49.1,10.52,428.76,77.4,72.94,13.85,240.57,70.4,339.63,13.62,251.53,65.8,12.66,13.75,11.19,22.74,11.58,13.02
6/3/2019 10:53,17.24,23.53,49.1,10.52,421.37,77.4,73,13.94,238.87,70.2,343.45,13.7,252.1,65.8,12.66,13.75,11.19,22.74,11.58,13.02
6/3/2019 10:53,17.24,23.53,48.7,10.48,430.59,77.4,72.75,13.92,242.42,70.4,343.46,13.7,251.36,65.8,12.69,13.75,11.19,22.74,11.55,13.02
6/3/2019 10:53,17.24,23.53,48.43,10.48,434.32,77.5,72.31,13.87,243.15,70.2,337.56,13.66,251.55,65.8,12.69,13.75,11.19,22.74,11.55,13.02
6/3/2019 10:53,17.24,23.53,48.3,10.48,433.69,77.5,72.81,13.85,238.98,70.3,344.52,13.66,251.34,65.8,12.69,13.75,11.19,22.74,11.55,13.02
6/3/2019 10:53,17.24,23.53,48.57,10.52,420.96,77.5,72.69,13.86,237.52,70.5,341.7,13.69,250.92,65.8,12.69,13.75,11.24,22.74,11.54,13.02
6/3/2019 10:53,17.24,23.53,48.7,10.52,434.7,77.5,72.94,13.91,241.5,70.4,341.32,13.66,251.34,65.9,12.69,13.75,11.24,22.74,11.54,13.02
6/3/2019 10:53,17.24,23.53,47.62,10.52,423.68,77.5,72.5,13.89,242.77,70.5,344.92,13.62,250.8,65.9,12.66,13.75,11.22,22.74,11.57,13.02
6/3/2019 10:53,17.24,23.53,47.76,10.48,432.14,77.6,72.75,13.92,236.4,70.4,337.63,13.75,250.85,65.9,12.66,13.75,11.22,22.74,11.57,13.02
6/3/2019 10:53,17.24,23.53,47.89,10.48,431.37,77.6,72.94,13.87,235.62,70.5,334.67,13.67,251.33,65.9,12.66,13.75,11.22,22.74,11.57,13.02
6/3/2019 10:53,17.24,23.53,48.16,10.48,436.75,77.6,72.75,13.92,240.17,70.6,345.75,13.75,250.55,65.9,12.65,13.75,11.23,22.74,11.55,13.02
6/3/2019 10:53,17.24,23.53,48.7,10.48,420.54,77.6,72.63,13.93,241.78,70.5,350.67,13.63,251.25,65.9,12.65,13.75,11.23,22.74,11.55,13.02
6/3/2019 10:53,17.24,23.53,47.76,10.48,425.71,77.6,72.81,13.91,238.9,70.6,344.48,13.76,250.56,65.9,12.67,13.75,11.26,22.74,11.54,13.02
6/3/2019 10:53,17.24,23.53,47.36,10.52,425.94,77.7,73.06,13.91,237.78,70.6,346.55,13.73,250.54,65.9,12.67,13.75,11.26,22.74,11.54,13.02
6/3/2019 10:53,17.24,23.53,47.22,10.52,431.37,77.7,73,13.91,238.43,70.6,339.42,13.63,250.56,65.9,12.64,13.75,11.19,22.74,11.59,13.02
6/3/2019 10:53,17.24,23.53,48.03,10.52,427.87,77.7,72.44,13.85,241.47,70.6,335.87,13.66,250.35,65.9,12.64,13.75,11.19,22.74,11.59,13.02
6/3/2019 10:53,17.24,23.53,48.16,10.48,435.19,77.7,72.63,13.92,242.3,70.7,342.44,13.78,250.6,66,12.64,13.75,11.19,22.74,11.59,13.02
6/3/2019 10:53,17.24,23.53,48.43,10.48,427.19,77.7,72.63,13.87,239.38,70.6,343.75,13.56,250.56,66,12.65,13.75,11.27,22.74,11.54,13.02
